,No,year,month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM,station
1887,34120,2017,1,20,15,5.0,12.0,5.0,12.0,400.0,60.0,1.175,1021.5,-24.1,0.0,NW,3.7,Changping
1888,34121,2017,1,20,16,12.0,36.0,7.0,18.0,500.0,57.0,1.7,1020.25,-23.9,0.0,NW,1.5,Changping
1889,34122,2017,1,20,17,24.0,54.0,12.0,41.0,700.0,43.0,-0.333333333333333,1021.0,-21.8,0.0,SE,3.6,Changping
1890,34123,2017,1,20,18,32.0,61.0,17.0,51.0,900.0,37.0,-1.55,1021.0,-21.7,0.0,NE,0.8,Changping
1891,34124,2017,1,20,19,41.0,65.0,17.0,57.0,1100.0,25.0,-2.6,1021.0,-20.7,0.0,SE,1.5,Changping
1892,34125,2017,1,20,20,38.0,58.0,15.0,51.0,1100.0,26.0,-3.2,1021.0,-20.4,0.0,NW,0.7,Changping
1893,34126,2017,1,20,21,46.0,67.0,20.0,67.0,1400.0,13.0,-4.6,1021.0,-20.0,0.0,NE,0.7,Changping
1894,34127,2017,1,20,22,53.0,54.0,16.0,53.0,1500.0,18.0,-6.55,1020.75,-20.1,0.0,NE,0.8,Changping
1895,34128,2017,1,20,23,48.0,54.0,12.0,36.0,1300.0,30.0,-6.2,1020.0,-20.3,0.0,NW,0.9,Changping
1896,34129,2017,1,21,0,79.0,91.0,21.0,61.0,2300.0,15.0,-7.66,1019.4,-20.1,0.0,NW,1.0,Changping
1897,34130,2017,1,21,1,60.0,60.0,13.0,47.0,1800.0,9.0,-8.46666666666667,1019.0,-19.7,0.0,NE,0.7,Changping
1898,34131,2017,1,21,2,51.0,54.0,37.0,22.0,100.0,9.0,-8.74,1018.0,-19.9,0.0,NW,1.4,Changping
1899,34132,2017,1,21,3,50.0,60.0,13.0,33.0,1100.0,4.0,-9.15,1018.0,-19.7,0.0,NW,1.0,Changping
1900,34133,2017,1,21,4,53.0,53.0,3.0,23.0,500.0,61.0,-9.46666666666667,1018.0,-19.7,0.0,NE,0.4,Changping
1901,34134,2017,1,21,5,48.0,57.0,11.0,61.0,1300.0,5.0,-9.45,1018.0,-19.6,0.0,NE,2.0,Changping
1902,34135,2017,1,21,6,48.0,66.0,20.0,65.0,1600.0,7.0,-8.22,1018.8,-19.5,0.0,NW,1.8,Changping
1903,34136,2017,1,21,7,18.0,35.0,7.0,27.0,600.0,44.0,-4.16666666666667,1019.66666666667,-20.6,0.0,NW,4.7,Changping
1904,34137,2017,1,21,8,7.0,31.0,6.0,25.0,500.0,48.0,-4.725,1020.5,-21.5,0.0,NW,3.7,Changping
1905,34138,2017,1,21,9,16.0,23.0,9.0,32.0,700.0,42.0,-4.54,1021.0,-21.6,0.0,NW,1.8,Changping
1906,34139,2017,1,21,10,7.0,47.0,7.0,22.0,500.0,48.0,-3.3,1021.0,-21.5,0.0,NW,4.5,Changping
1907,34140,2017,1,21,11,13.0,68.0,7.0,21.0,500.0,47.0,-2.34,1021.4,-21.9,0.0,NW,7.3,Changping
1908,34141,2017,1,21,12,9.0,64.0,6.0,23.0,400.0,43.0,-1.625,1021.0,-22.8,0.0,NW,6.1,Changping
1909,34142,2017,1,21,13,11.0,32.0,5.0,18.0,300.0,48.0,-0.875,1021.0,-23.4,0.0,NW,3.0,Changping
1910,34143,2017,1,21,14,8.0,37.0,3.0,12.0,200.0,54.0,-0.25,1021.0,-23.8,0.0,NW,4.2,Changping
1911,34144,2017,1,21,15,6.0,39.0,4.0,13.0,200.0,54.0,-0.775,1021.0,-24.3,0.0,NW,5.7,Changping
1912,34145,2017,1,21,16,10.0,28.0,4.0,13.0,200.0,54.0,-1.075,1021.75,-24.1,0.0,NW,2.4,Changping
1913,34146,2017,1,21,17,9.0,31.0,4.0,15.0,200.0,54.0,-2.1,1022.75,-24.3,0.0,NW,2.4,Changping
1914,34147,2017,1,21,18,14.0,33.0,5.0,16.0,200.0,53.0,-3.75,1023.75,-24.1,0.0,NE,2.4,Changping
1915,34148,2017,1,21,19,13.0,26.0,5.0,15.0,300.0,53.0,-4.5,1025.0,-23.8,0.0,NE,2.6,Changping
1916,34149,2017,1,21,20,14.0,27.0,8.0,18.0,400.0,49.0,-5.125,1025.5,-23.6,0.0,NW,1.7,Changping
1917,34150,2017,1,21,21,16.0,19.0,10.0,22.0,500.0,45.0,-5.85,1026.0,-23.2,0.0,NE,1.6,Changping
1918,34151,2017,1,21,22,18.0,23.0,12.0,38.0,700.0,31.0,-6.1,1026.0,-23.1,0.0,NE,2.1,Changping
1919,34152,2017,1,21,23,16.0,20.0,13.0,37.0,600.0,33.0,-6.075,1026.0,-23.1,0.0,NE,3.0,Changping
1920,34153,2017,1,22,0,16.0,20.0,7.0,18.0,600.0,48.0,-6.26,1026.0,-22.3,0.0,NE,2.2,Changping
1921,34154,2017,1,22,1,12.0,13.0,8.0,20.0,600.0,47.0,-6.525,1026.0,-21.5,0.0,NE,2.1,Changping
1922,34155,2017,1,22,2,9.0,11.0,5.0,14.0,500.0,53.0,-6.625,1026.0,-21.0,0.0,NE,2.5,Changping
1923,34156,2017,1,22,3,5.0,9.0,3.0,12.0,400.0,54.0,-6.675,1026.0,-20.8,0.0,NE,1.8,Changping
1924,34157,2017,1,22,4,8.0,8.0,3.0,12.0,400.0,54.0,-6.8,1026.0,-20.8,0.0,NW,2.6,Changping
1925,34158,2017,1,22,5,6.0,6.0,3.0,10.0,400.0,56.0,-6.725,1026.0,-21.0,0.0,NW,2.3,Changping
1926,34159,2017,1,22,6,7.0,7.0,4.0,11.0,400.0,56.0,-6.7,1026.0,-21.6,0.0,NW,2.5,Changping
1927,34160,2017,1,22,7,6.0,11.0,4.0,13.0,500.0,55.0,-7.03333333333333,1027.0,-21.7,0.0,NE,1.9,Changping
1928,34161,2017,1,22,8,7.0,15.0,8.0,24.0,500.0,45.0,-7.125,1027.0,-21.7,0.0,NE,2.5,Changping
1929,34162,2017,1,22,9,9.0,19.0,10.0,23.0,600.0,45.0,-6.825,1027.0,-21.8,0.0,NE,1.8,Changping
1930,34163,2017,1,22,10,10.0,15.0,8.0,18.0,500.0,51.0,-5.025,1027.0,-21.6,0.0,NE,2.4,Changping
1931,34164,2017,1,22,11,8.0,17.0,6.0,14.0,400.0,52.0,-3.15,1027.0,-21.2,0.0,NE,1.4,Changping
1932,34165,2017,1,22,12,12.0,15.0,7.0,17.0,500.0,49.0,-1.94,1026.4,-20.6,0.0,SE,3.3,Changping
1933,34166,2017,1,22,13,14.0,14.0,6.0,15.0,300.0,53.0,-1.83333333333333,1025.33333333333,-20.6,0.0,SE,3.0,Changping
1934,34167,2017,1,22,14,14.0,20.0,7.0,20.0,300.0,51.0,-0.9,1024.4,-20.7,0.0,SE,3.0,Changping
1935,34168,2017,1,22,15,14.0,27.0,11.0,21.0,400.0,52.0,-0.5,1024.0,-20.8,0.0,SE,2.7,Changping
1936,34169,2017,1,22,16,19.0,33.0,12.0,34.0,500.0,43.0,-0.2,1023.0,-20.4,0.0,SE,1.4,Changping
1937,34170,2017,1,22,17,24.0,43.0,13.0,56.0,700.0,25.0,-0.4,1023.0,-19.8,0.0,SE,1.8,Changping
1938,34171,2017,1,22,18,26.0,52.0,13.0,53.0,700.0,25.0,-1.34,1023.6,-19.9,0.0,SE,2.6,Changping
1939,34172,2017,1,22,19,30.0,56.0,20.0,48.0,800.0,25.0,-2.56666666666667,1024.33333333333,-19.9,0.0,NE,2.0,Changping
1940,34173,2017,1,22,20,38.0,50.0,25.0,55.0,100.0,17.0,-3.86,1025.2,-20.0,0.0,NW,1.2,Changping
1941,34174,2017,1,22,21,37.0,53.0,23.0,72.0,1200.0,3.0,-5.7,1026.0,-19.4,0.0,NW,1.1,Changping
1942,34175,2017,1,22,22,43.0,54.0,20.0,68.0,1500.0,5.0,-6.675,1026.25,-19.3,0.0,NW,2.5,Changping
1943,34176,2017,1,22,23,45.0,46.0,19.0,60.0,1300.0,7.0,-6.95,1027.0,-19.5,0.0,NE,0.7,Changping
1944,34177,2017,1,23,0,37.0,43.0,11.0,34.0,1200.0,23.0,-7.18,1027.0,-19.4,0.0,NW,1.8,Changping
1945,34178,2017,1,23,1,35.0,49.0,10.0,28.0,1200.0,19.0,-7.83333333333333,1027.0,-19.5,0.0,NW,1.7,Changping
1946,34179,2017,1,23,2,38.0,39.0,45.0,28.0,900.0,4.0,-8.7,1027.0,-19.1,0.0,NE,1.0,Changping
1947,34180,2017,1,23,3,35.0,35.0,11.0,20.0,100.0,11.0,-9.575,1027.0,-19.1,0.0,NW,2.2,Changping
1948,34181,2017,1,23,4,38.0,38.0,3.0,27.0,600.0,56.0,-9.63333333333333,1027.0,-19.1,0.0,NE,0.5,Changping
1949,34182,2017,1,23,5,36.0,36.0,4.0,61.0,1100.0,2.0,-9.825,1027.0,-19.2,0.0,NE,1.2,Changping
1950,34183,2017,1,23,6,29.0,32.0,9.0,56.0,1100.0,6.0,-9.78,1027.0,-19.1,0.0,NE,0.8,Changping
1951,34184,2017,1,23,7,26.0,41.0,11.0,53.0,1200.0,8.0,-9.96666666666667,1027.0,-19.0,0.0,NE,1.6,Changping
1952,34185,2017,1,23,8,28.0,36.0,11.0,61.0,1200.0,4.0,-9.75,1027.0,-18.8,0.0,NW,1.1,Changping
1953,34186,2017,1,23,9,29.0,35.0,12.0,44.0,1100.0,16.0,-9.04,1027.6,-18.8,0.0,NW,1.0,Changping
1954,34187,2017,1,23,10,41.0,95.0,20.0,55.0,1800.0,14.0,-5.825,1028.0,-17.9,0.0,SW,1.1,Changping
1955,34188,2017,1,23,11,81.0,94.0,33.0,78.0,2500.0,5.0,-4.1,1027.75,-17.8,0.0,SW,1.8,Changping
1956,34189,2017,1,23,12,56.0,56.0,25.0,71.0,1600.0,11.0,-2.75,1026.75,-19.4,0.0,SW,1.9,Changping
1957,34190,2017,1,23,13,44.0,44.0,20.0,56.0,1100.0,25.0,-1.375,1025.5,-19.2,0.0,SE,1.6,Changping
1958,34191,2017,1,23,14,34.0,34.0,15.0,41.0,700.0,35.0,-0.65,1024.5,-19.1,0.0,SE,2.4,Changping
1959,34192,2017,1,23,15,23.0,31.0,12.0,34.0,500.0,41.0,-0.3,1024.0,-19.1,0.0,SE,1.4,Changping
1960,34193,2017,1,23,16,25.0,35.0,10.0,33.0,500.0,44.0,-0.25,1024.0,-19.1,0.0,SE,2.4,Changping
1961,34194,2017,1,23,17,3.0,6.0,9.0,2.0,400.0,32.0,-0.7,1024.0,-19.1,0.0,SE,1.8,Changping
1962,34195,2017,1,23,18,3.0,5.0,3.0,2.0,900.0,2.0,-1.8,1024.4,-19.0,0.0,SE,1.2,Changping
1963,34196,2017,1,23,19,28.0,29.0,4.0,16.0,300.0,44.0,-2.6,1025.0,-18.5,0.0,NE,0.9,Changping
1964,34197,2017,1,23,20,65.0,65.0,21.0,58.0,1400.0,15.0,-4.225,1025.75,-18.5,0.0,NE,0.9,Changping
1965,34198,2017,1,23,21,51.0,51.0,17.0,44.0,1100.0,22.0,-4.725,1026.0,-18.4,0.0,NW,1.4,Changping
1966,34199,2017,1,23,22,50.0,50.0,18.0,61.0,1200.0,9.0,-6.025,1026.0,-18.4,0.0,NW,1.2,Changping
1967,34200,2017,1,23,23,50.0,51.0,17.0,59.0,1200.0,44.0,-6.76,1027.0,-18.2,0.0,NW,1.4,Changping
1968,34201,2017,1,24,0,52.0,52.0,14.0,39.0,100.0,20.0,-6.76666666666667,1027.0,-18.2,0.0,NW,0.7,Changping
1969,34202,2017,1,24,1,48.0,48.0,8.0,34.0,1200.0,44.0,-7.45,1027.0,-18.1,0.0,NW,1.8,Changping
1970,34203,2017,1,24,2,44.0,44.0,11.0,31.0,1200.0,25.0,-7.74,1027.6,-18.1,0.0,NE,1.0,Changping
1971,34204,2017,1,24,3,39.0,39.0,9.0,32.0,1200.0,24.0,-8.03333333333333,1028.0,-18.0,0.0,NW,1.9,Changping
1972,34205,2017,1,24,4,37.0,37.0,11.0,42.0,1200.0,15.0,-8.78,1028.0,-18.0,0.0,NW,1.2,Changping
1973,34206,2017,1,24,5,41.0,41.0,14.0,47.0,1100.0,12.0,-8.8,1028.0,-17.9,0.0,NE,1.3,Changping
1974,34207,2017,1,24,6,41.0,41.0,13.0,48.0,1300.0,11.0,-9.52,1028.0,-17.8,0.0,NW,2.1,Changping
1975,34208,2017,1,24,7,48.0,49.0,10.0,50.0,1300.0,8.0,-9.73333333333333,1028.0,-17.7,0.0,NW,1.4,Changping
1976,34209,2017,1,24,8,60.0,66.0,14.0,60.0,2000.0,44.0,-9.825,1028.5,-17.5,0.0,NW,1.5,Changping
1977,34210,2017,1,24,9,97.0,154.0,37.0,69.0,3500.0,6.0,-8.96,1029.0,-17.3,0.0,NW,1.5,Changping
1978,34211,2017,1,24,10,105.0,105.0,47.0,76.0,2800.0,4.0,-6.1,1029.0,-16.4,0.0,SW,1.0,Changping
1979,34212,2017,1,24,11,104.0,119.0,40.0,74.0,2600.0,7.0,-2.9,1029.2,-16.6,0.0,SW,2.0,Changping
1980,34213,2017,1,24,12,94.0,94.0,31.0,68.0,1800.0,44.0,-1.1,1028.5,-16.5,0.0,SW,1.0,Changping
1981,34214,2017,1,24,13,90.0,90.0,31.0,69.0,1600.0,18.0,0.533333333333333,1027.66666666667,-16.4,0.0,SE,1.1,Changping
1982,34215,2017,1,24,14,83.0,83.0,31.0,68.0,1000.0,22.0,1.76,1026.4,-16.5,0.0,SW,2.2,Changping
1983,34216,2017,1,24,15,86.0,86.0,36.0,73.0,1600.0,24.0,2.2,1025.75,-16.3,0.0,SE,2.0,Changping
1984,34217,2017,1,24,16,81.0,85.0,38.0,76.0,1500.0,25.0,1.775,1026.0,-16.0,0.0,SE,1.8,Changping
1985,34218,2017,1,24,17,80.0,80.0,33.0,84.0,1400.0,25.0,1.73333333333333,1025.66666666667,-15.8,0.0,NE,1.1,Changping
1986,34219,2017,1,24,18,76.0,77.0,27.0,94.0,1400.0,7.0,0.66,1025.8,-15.4,0.0,SW,0.8,Changping
1987,34220,2017,1,24,19,93.0,105.0,34.0,101.0,1900.0,3.0,-0.5,1026.0,-14.8,0.0,NE,1.3,Changping
1988,34221,2017,1,24,20,121.0,122.0,36.0,105.0,2500.0,25.0,-1.525,1026.0,-15.1,0.0,NE,1.1,Changping
1989,34222,2017,1,24,21,107.0,107.0,33.0,102.0,2300.0,25.0,-1.85,1026.0,-15.1,0.0,NE,0.2,Changping
1990,34223,2017,1,24,22,105.0,108.0,35.0,100.0,2200.0,25.0,-1.95,1026.0,-14.7,0.0,NW,1.2,Changping
1991,34224,2017,1,24,23,124.0,124.0,39.0,108.0,2700.0,25.0,-2.74,1026.0,-14.6,0.0,NW,0.9,Changping
1992,34225,2017,1,25,0,144.0,144.0,35.0,103.0,300.0,2.0,-2.63333333333333,1026.0,-14.3,0.0,NW,1.2,Changping
1993,34226,2017,1,25,1,162.0,163.0,42.0,80.0,3300.0,2.0,-4.075,1026.0,-14.3,0.0,NW,0.7,Changping
1994,34227,2017,1,25,2,156.0,156.0,52.0,56.0,2600.0,2.0,-5.25,1026.0,-14.4,0.0,SE,1.0,Changping
1995,34228,2017,1,25,3,129.0,129.0,16.0,48.0,200.0,2.0,-6.16,1026.0,-14.3,0.0,NW,1.5,Changping
1996,34229,2017,1,25,4,118.0,118.0,5.0,35.0,900.0,25.0,-6.175,1025.0,-14.3,0.0,NW,1.4,Changping
1997,34230,2017,1,25,5,118.0,118.0,8.0,80.0,1800.0,2.0,-6.33333333333333,1025.0,-14.4,0.0,NE,1.5,Changping
1998,34231,2017,1,25,6,125.0,125.0,16.0,78.0,2500.0,5.0,-6.68,1025.0,-14.2,0.0,NW,1.1,Changping
1999,34232,2017,1,25,7,130.0,130.0,16.0,75.0,2500.0,5.0,-6.63333333333333,1025.0,-13.9,0.0,NW,1.5,Changping
2000,34233,2017,1,25,8,136.0,136.0,16.0,78.0,2600.0,4.0,-7.08,1025.0,-13.8,0.0,NW,2.1,Changping
2001,34234,2017,1,25,9,155.0,168.0,31.0,91.0,4000.0,25.0,-6.4,1025.0,-13.7,0.0,NW,1.5,Changping
2002,34235,2017,1,25,10,157.0,157.0,41.0,88.0,3500.0,5.0,-4.93333333333333,1025.0,-13.1,0.0,SE,0.8,Changping
2003,34236,2017,1,25,11,173.0,181.0,47.0,96.0,3700.0,7.0,-1.525,1024.75,-13.2,0.0,SW,1.7,Changping
2004,34237,2017,1,25,12,170.0,170.0,45.0,88.0,3200.0,15.0,-0.06,1023.6,-12.4,0.0,SE,2.3,Changping
2005,34238,2017,1,25,13,148.0,148.0,43.0,80.0,2600.0,24.0,1.125,1022.5,-13.0,0.0,SW,1.5,Changping
2006,34239,2017,1,25,14,46.0,68.0,12.0,51.0,900.0,38.0,2.25,1021.0,-12.7,0.0,SW,1.6,Changping
2007,34240,2017,1,25,15,158.0,158.0,43.0,82.0,2400.0,35.0,2.7,1020.0,-12.7,0.0,SW,1.3,Changping
2008,34241,2017,1,25,16,158.0,158.0,44.0,80.0,2400.0,40.0,2.73333333333333,1019.33333333333,-12.2,0.0,SE,1.2,Changping
2009,34242,2017,1,25,17,158.0,158.0,44.0,82.0,2400.0,43.0,2.05,1019.25,-12.4,0.0,NE,0.8,Changping
2010,34243,2017,1,25,18,160.0,160.0,40.0,90.0,2500.0,34.0,1.12,1019.2,-12.1,0.0,SE,0.6,Changping
2011,34244,2017,1,25,19,179.0,179.0,31.0,107.0,2900.0,15.0,-1.33333333333333,1019.0,-12.4,0.0,NE,0.9,Changping
2012,34245,2017,1,25,20,205.0,205.0,29.0,122.0,3700.0,4.0,-1.875,1019.0,-11.8,0.0,NE,0.4,Changping
2013,34246,2017,1,25,21,204.0,204.0,29.0,120.0,3500.0,43.0,-3.05,1019.0,-12.2,0.0,NW,1.1,Changping
2014,34247,2017,1,25,22,193.0,193.0,24.0,100.0,3100.0,43.0,-3.8,1019.0,-11.9,0.0,NE,0.5,Changping
2015,34248,2017,1,25,23,183.0,183.0,27.0,87.0,3100.0,43.0,-3.725,1018.0,-11.4,0.0,NW,0.9,Changping
2016,34249,2017,1,26,0,214.0,214.0,30.0,97.0,4900.0,43.0,-4.3,1017.25,-11.9,0.0,NW,1.6,Changping
2017,34250,2017,1,26,1,242.0,242.0,31.0,107.0,4800.0,43.0,-4.5,1016.5,-11.9,0.0,NW,1.1,Changping
2018,34251,2017,1,26,2,247.0,247.0,36.0,111.0,5700.0,43.0,-4.58,1015.4,-11.5,0.0,NW,1.8,Changping
2019,34252,2017,1,26,3,219.0,219.0,34.0,106.0,4400.0,43.0,-4.525,1015.25,-11.1,0.0,NW,1.8,Changping
2020,34253,2017,1,26,4,210.0,210.0,25.0,108.0,4200.0,2.0,-4.575,1013.5,-10.7,0.0,NW,1.7,Changping
2021,34254,2017,1,26,5,210.0,210.0,27.0,99.0,3500.0,2.0,-4.2,1012.66666666667,-10.4,0.0,NW,1.5,Changping
2022,34255,2017,1,26,6,204.0,204.0,25.0,99.0,3300.0,2.0,-4.25,1012.25,-10.2,0.0,NE,2.0,Changping
2023,34256,2017,1,26,7,217.0,217.0,24.0,99.0,3400.0,43.0,-3.975,1011.75,-10.0,0.0,NE,0.7,Changping
2024,34257,2017,1,26,8,240.0,240.0,25.0,102.0,3800.0,3.0,-3.65,1011.5,-9.6,0.0,NW,1.0,Changping
2025,34258,2017,1,26,9,244.0,244.0,37.0,110.0,4200.0,3.0,-3.575,1011.0,-9.6,0.0,N,1.2,Changping
2026,34259,2017,1,26,10,267.0,267.0,41.0,109.0,4600.0,4.0,-2.325,1011.25,-8.6,0.0,NE,1.0,Changping
2027,34260,2017,1,26,11,295.0,332.0,49.0,118.0,5500.0,5.0,-1.04,1011.0,-8.2,0.0,NW,1.4,Changping
2028,34261,2017,1,26,12,323.0,323.0,59.0,126.0,5900.0,43.0,0.4,1011.0,-8.0,0.0,NE,2.0,Changping
2029,34262,2017,1,26,13,141.0,141.0,39.0,65.0,2100.0,43.0,6.25,1011.0,-9.1,0.0,NW,2.8,Changping
2030,34263,2017,1,26,14,49.0,77.0,12.0,33.0,100.0,51.0,9.175,1011.0,-11.6,0.0,NW,3.4,Changping
2031,34264,2017,1,26,15,7.0,60.0,6.0,24.0,500.0,57.0,9.275,1011.75,-12.9,0.0,NW,3.5,Changping
2032,34265,2017,1,26,16,10.0,91.0,4.0,21.0,400.0,61.0,8.55,1013.5,-14.1,0.0,NW,5.7,Changping
2033,34266,2017,1,26,17,13.0,48.0,3.0,19.0,300.0,64.0,6.73333333333333,1015.66666666667,-14.7,0.0,NW,2.8,Changping
2034,34267,2017,1,26,18,9.0,24.0,4.0,18.0,300.0,64.0,4.44,1018.2,-14.8,0.0,NE,3.2,Changping
2035,34268,2017,1,26,19,9.0,24.0,4.0,19.0,400.0,64.0,3.2,1020.33333333333,-16.2,0.0,NW,3.1,Changping
2036,34269,2017,1,26,20,10.0,10.0,3.0,15.0,300.0,67.0,2.4,1021.25,-17.1,0.0,NW,2.9,Changping
2037,34270,2017,1,26,21,8.0,10.0,5.0,16.0,400.0,67.0,1.5,1022.75,-16.9,0.0,NW,3.1,Changping
2038,34271,2017,1,26,22,11.0,11.0,5.0,15.0,500.0,67.0,0.125,1023.0,-16.6,0.0,NW,2.1,Changping
2039,34272,2017,1,26,23,9.0,9.0,5.0,13.0,400.0,67.0,0.125,1023.25,-16.4,0.0,NW,2.0,Changping
2040,34273,2017,1,27,0,8.0,8.0,6.0,13.0,500.0,67.0,-1.2,1024.0,-16.3,0.0,NW,1.6,Changping
2041,34274,2017,1,27,1,17.0,18.0,8.0,12.0,1100.0,67.0,-1.76,1024.0,-15.7,0.0,NW,3.8,Changping
2042,34275,2017,1,27,2,12.0,12.0,18.0,9.0,300.0,67.0,-1.4,1024.75,-15.4,0.0,NW,2.1,Changping
2043,34276,2017,1,27,3,8.0,8.0,9.0,8.0,400.0,67.0,-2.125,1025.0,-14.9,0.0,NW,2.1,Changping
2044,34277,2017,1,27,4,11.0,11.0,5.0,7.0,300.0,67.0,-2.9,1024.5,-14.9,0.0,NW,2.5,Changping
2045,34278,2017,1,27,5,7.0,7.0,7.0,12.0,400.0,42.0,-3.1,1024.0,-14.8,0.0,NE,3.0,Changping
2046,34279,2017,1,27,6,13.0,13.0,8.0,19.0,500.0,53.0,-3.7,1023.0,-14.3,0.0,NW,1.9,Changping
2047,34280,2017,1,27,7,9.0,13.0,9.0,23.0,600.0,48.0,-3.06666666666667,1023.0,-14.4,0.0,NW,1.6,Changping
2048,34281,2017,1,27,8,18.0,18.0,10.0,24.0,600.0,47.0,-3.2,1023.0,-14.5,0.0,SW,1.5,Changping
2049,34282,2017,1,27,9,14.0,24.0,14.0,27.0,700.0,44.0,-1.68,1023.4,-14.5,0.0,SE,1.4,Changping
2050,34283,2017,1,27,10,19.0,29.0,23.0,36.0,900.0,39.0,-0.225,1023.25,-13.0,0.0,SE,1.4,Changping
2051,34284,2017,1,27,11,18.0,25.0,16.0,30.0,800.0,46.0,-0.225,1023.0,-13.0,0.0,SE,0.9,Changping
2052,34285,2017,1,27,12,20.0,20.0,13.0,26.0,700.0,54.0,-0.225,1023.0,-13.0,0.0,SE,0.7,Changping
2053,34286,2017,1,27,13,29.0,29.0,14.0,22.0,600.0,67.0,-0.225,1022.0,-13.0,0.0,NE,1.6,Changping
2054,34287,2017,1,27,14,29.0,40.0,12.0,20.0,600.0,72.0,-0.225,1022.0,-13.0,0.0,SE,3.4,Changping
2055,34288,2017,1,27,15,35.0,58.0,12.0,21.0,600.0,74.0,4.5,1018.0,-16.0,0.0,SW,2.7,Changping
2056,34289,2017,1,27,16,48.0,82.0,15.0,24.0,600.0,72.0,4.2,1017.0,-15.8,0.0,SE,2.7,Changping
2057,34290,2017,1,27,17,60.0,93.0,17.0,25.0,700.0,74.0,3.575,1016.5,-15.9,0.0,SE,2.4,Changping
2058,34291,2017,1,27,18,70.0,97.0,23.0,32.0,900.0,66.0,2.2,1016.75,-16.0,0.0,SE,2.5,Changping
2059,34292,2017,1,27,19,85.0,127.0,31.0,40.0,100.0,55.0,1.46666666666667,1017.0,-16.2,0.0,SE,1.7,Changping
2060,34293,2017,1,27,20,123.0,160.0,41.0,44.0,1400.0,46.0,0.68,1017.0,-16.1,0.0,SE,2.0,Changping
2061,34294,2017,1,27,21,134.0,165.0,40.0,45.0,1300.0,42.0,0.0,1016.33333333333,-15.7,0.0,SE,1.3,Changping
2062,34295,2017,1,27,22,142.0,174.0,39.0,49.0,1200.0,38.0,-0.75,1016.0,-15.6,0.0,NE,1.1,Changping
2063,34296,2017,1,27,23,163.0,216.0,46.0,49.0,1300.0,35.0,-0.45,1016.0,-15.5,0.0,NE,1.0,Changping
2064,34297,2017,1,28,0,218.0,311.0,56.0,54.0,1500.0,28.0,-0.95,1015.5,-15.4,0.0,NE,0.3,Changping
2065,34298,2017,1,28,1,456.0,603.0,99.0,67.0,1500.0,15.0,-1.86,1015.0,-15.2,0.0,E,1.1,Changping
2066,34299,2017,1,28,2,539.0,775.0,106.0,72.0,3300.0,11.0,-2.825,1014.75,-15.0,0.0,NW,1.1,Changping
2067,34300,2017,1,28,3,527.0,559.0,82.0,82.0,4800.0,5.0,-3.5,1014.0,-14.4,0.0,NW,0.6,Changping
2068,34301,2017,1,28,4,325.0,370.0,69.0,83.0,4400.0,3.0,-3.66666666666667,1014.0,-14.5,0.0,NW,1.2,Changping
2069,34302,2017,1,28,5,346.0,368.0,58.0,77.0,5500.0,4.0,-3.64,1013.2,-14.5,0.0,NW,1.0,Changping
2070,34303,2017,1,28,6,304.0,304.0,51.0,72.0,4300.0,3.0,-3.1,1012.75,-14.5,0.0,NE,0.6,Changping
2071,34304,2017,1,28,7,242.0,297.0,53.0,63.0,200.0,5.0,-2.9,1012.0,-14.2,0.0,NW,1.1,Changping
2072,34305,2017,1,28,8,313.0,412.0,81.0,75.0,2800.0,5.0,-2.8,1012.5,-14.2,0.0,NW,1.2,Changping
2073,34306,2017,1,28,9,342.0,412.0,101.0,75.0,3200.0,6.0,-2.825,1013.0,-13.8,0.0,NW,1.1,Changping
2074,34307,2017,1,28,10,313.0,390.0,111.0,71.0,2400.0,10.0,-1.625,1013.0,-14.0,0.0,NW,0.9,Changping
2075,34308,2017,1,28,11,295.0,341.0,95.0,61.0,200.0,19.0,-0.3,1013.0,-14.3,0.0,NW,1.0,Changping
2076,34309,2017,1,28,12,242.0,254.0,91.0,56.0,1900.0,26.0,1.125,1012.25,-14.2,0.0,SW,1.1,Changping
2077,34310,2017,1,28,13,197.0,220.0,83.0,45.0,1600.0,38.0,1.96666666666667,1011.66666666667,-14.1,0.0,SE,1.9,Changping
2078,34311,2017,1,28,14,178.0,198.0,79.0,45.0,1700.0,39.0,2.4,1011.0,-12.8,0.0,SE,1.1,Changping
2079,34312,2017,1,28,15,184.0,203.0,75.0,48.0,200.0,38.0,2.5,1010.0,-10.7,0.0,SE,1.6,Changping
2080,34313,2017,1,28,16,195.0,224.0,68.0,50.0,2200.0,38.0,2.125,1010.0,-10.2,0.0,SE,2.1,Changping
2081,34314,2017,1,28,17,208.0,236.0,60.0,56.0,2300.0,33.0,1.53333333333333,1010.0,-10.0,0.0,SE,1.4,Changping
2082,34315,2017,1,28,18,218.0,243.0,36.0,66.0,2600.0,23.0,1.05,1011.0,-9.7,0.0,NW,0.7,Changping
2083,34316,2017,1,28,19,227.0,260.0,25.0,71.0,2900.0,18.0,-0.5,1011.25,-9.8,0.0,NE,1.8,Changping
2084,34317,2017,1,28,20,237.0,254.0,35.0,72.0,3300.0,11.0,-1.55,1012.0,-9.8,0.0,NE,0.8,Changping
